pair_id,pearson_levels_spotify_popularity,pearson_spotify_streams_weekly_changes,pearson_youtube_likes_weekly_changes,pearson_youtube_views_weekly_changes,spearman_levels_spotify_popularity,spearman_spotify_streams_weekly_changes,spearman_youtube_likes_weekly_changes,spearman_youtube_views_weekly_changes
PAIR001,0.684,0.794,0.912,0.662,0.803,0.754,0.763,0.841
PAIR002,0.803,0.73,0.539,0.585,0.832,0.77,0.67,0.638
PAIR003,,-0.243,,,,-0.713,,
PAIR004,0.953,0.821,0.359,0.317,0.959,0.903,0.663,0.243
PAIR005,0.144,0.26,0.184,0.229,0.294,0.362,0.184,0.318
PAIR006,-0.291,-0.395,,0.023,-0.338,-0.753,,-0.007
PAIR007,0.779,0.326,0.012,0.03,0.621,-0.495,0.154,0.342
PAIR008,-0.16,-0.407,0.458,0.761,-0.168,-0.576,0.581,0.583
PAIR009,0.416,0.254,0.053,-0.005,0.368,0.122,0.402,0.276
PAIR010,0.76,0.587,,0.166,0.46,0.739,,0.012
PAIR011,0.819,0.32,0.071,0.119,0.844,0.077,0.254,-0.09
PAIR012,0.751,-0.117,0.763,-0.042,0.752,-0.157,0.697,-0.126
PAIR013,-0.216,-0.28,0.343,-0.239,-0.333,-0.497,0.504,-0.234
PAIR014,-0.758,0.363,-0.031,-0.268,-0.47,0.561,-0.16,-0.248
PAIR015,0.814,0.505,-0.089,0.073,0.807,0.73,-0.117,0.5
PAIR016,0.86,0.441,0.246,-0.013,0.94,0.869,0.578,0.9
PAIR017,0.862,-0.457,,,0.839,-0.769,,
PAIR018,0.618,-0.1,0.938,0.003,0.466,-0.031,0.86,0.599
PAIR019,0.856,-0.391,0.876,0.045,0.811,-0.133,0.729,0.164
PAIR020,0.302,-0.545,,-0.715,0.629,-0.603,,-0.711
PAIR021,0.723,0.424,,,0.885,0.96,,
PAIR022,0.484,-0.737,0.269,0.203,0.813,-0.638,0.579,0.799
PAIR023,-0.663,-0.523,,,-0.393,-0.918,,
PAIR024,0.3,-0.038,0.34,0.434,0.439,-0.245,0.643,0.554
PAIR025,0.083,0.231,0.113,-0.041,-0.003,0.264,0.107,-0.1
